Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:4:47.40	-0.0117	-0.0591	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.220	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.280	-0.0127	-0.0601	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.280	-0.0127	-0.0601	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.320	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.320	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.440	-0.0127	-0.0601	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.440	-0.0127	-0.0601	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.440	-0.0127	-0.0601	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.440	-0.0127	-0.0601	0.9966	0.0	0.0	0.0	-3.093	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.580	-0.0176	-0.0576	0.9922	0.0	0.0	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06778
 2000-0-0 2:4:47.580	-0.0176	-0.0576	0.9922	0.0	0.0	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06778
 2000-0-0 2:4:47.680	-0.0142	-0.0581	0.9951	0.061	0.061	0.0	-3.093	0.797	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06778
 2000-0-0 2:4:47.680	-0.0142	-0.0581	0.9951	0.061	0.061	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06778
 2000-0-0 2:4:47.680	-0.0142	-0.0581	0.9951	0.061	0.061	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00409	0.06775
 2000-0-0 2:4:47.820	-0.0142	-0.0581	0.9951	0.061	0.061	0.0	-3.093	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06778
 2000-0-0 2:4:47.820	-0.0142	-0.0581	0.9951	0.061	0.061	0.0	-3.087	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:47.920	-0.0073	-0.0596	0.9985	0.061	0.061	0.0	-3.087	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06778
 2000-0-0 2:4:47.920	-0.0073	-0.0596	0.9985	0.061	0.061	0.0	-3.087	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03006	0.00406	0.06778
 2000-0-0 2:4:48.0	-0.0166	-0.0586	0.9951	0.0	0.061	0.0	-3.082	0.807	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.100	-0.0093	-0.0605	0.9985	0.0	0.0	0.0	-3.082	0.807	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:48.140	-0.0151	-0.0586	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03	0.00412	0.06775
 2000-0-0 2:4:48.140	-0.0151	-0.0586	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03	0.00412	0.06775
 2000-0-0 2:4:48.140	-0.0151	-0.0586	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03	0.00412	0.06775
 2000-0-0 2:4:48.280	-0.0146	-0.0591	0.9976	0.0	0.0	0.0	-3.082	0.807	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03	0.00412	0.06775
 2000-0-0 2:4:48.320	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:48.320	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.082	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:48.320	-0.0127	-0.0591	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.480	-0.0103	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.480	-0.0103	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:48.480	-0.0103	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.58	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.580	-0.0142	-0.0591	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03003	0.00415	0.06775
 2000-0-0 2:4:48.580	-0.0142	-0.0591	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.780	-0.0107	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.780	-0.0107	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03003	0.00412	0.06775
 2000-0-0 2:4:48.900	-0.0107	-0.0596	0.9966	0.0	0.0	0.0	-3.082	0.807	7.751	29.5	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:49.40	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:49.40	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:49.80	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.082	0.807	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:49.100	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.082	0.802	7.751	29.51	None	None	None	None	None	None	None	0.99719	-0.03003	0.00409	0.06775
 2000-0-0 2:4:49.160	-0.0122	-0.0601	0.9971	0.0	0.0	0.0	-3.082	0.802	7.751	29.5	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.160	-0.0122	-0.0601	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.5	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.200	-0.0112	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.220	-0.0122	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.220	-0.0122	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.260	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.300	-0.0112	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.320	-0.0122	-0.0596	0.9966	0.0	0.0	0.0	-3.087	0.802	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.360	-0.0117	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.360	-0.0117	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.360	-0.0117	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.360	-0.0117	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.440	-0.0112	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.560	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.6	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.600	-0.0117	-0.0596	0.9976	0.0	0.0	0.0	-3.087	0.802	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03006	0.00406	0.06775
 2000-0-0 2:4:49.680	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
 2000-0-0 2:4:49.680	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.802	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03006	0.00409	0.06775
