count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [-1.43513841e-08 -3.19921411e-01  3.10078589e-01]
 [ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]
 [-1.43513841e-08  1.00785885e-01 -5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]]","[2047. 2113. 1058. 2047. 2256.  915. 2048. 2256.  915. 2048. 2113. 1058.
 2047. 2113. 1058. 2047. 2256.  915.]","[2046. 2116. 1057. 2046. 2258.  916. 2049. 2258.  914. 2049. 2115. 1058.
 2048. 2116. 1057. 2048. 2259.  916.]",[ 0.      0.      0.      0.      0.      0.     -0.0884 -0.2656  0.957 ],112
1,0,"[[ 0.00874484 -0.10085499  0.52914501]
 [-0.00874484 -0.31991449  0.31008551]
 [ 0.00874484 -0.10085499  0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]
 [-0.00874484  0.10085499 -0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]]","[2042. 2113. 1058. 2042. 2256.  915. 2053. 2256.  915. 2053. 2113. 1058.
 2042. 2113. 1058. 2042. 2256.  915.]","[2047. 2116. 1056. 2046. 2258.  916. 2048. 2258.  914. 2049. 2115. 1058.
 2048. 2116. 1056. 2048. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0869  -0.2661
   0.9585]",112
2,0,"[[ 0.01748367 -0.10106057  0.52893943]
 [-0.01748367 -0.31989392  0.31010608]
 [ 0.01748367 -0.10106057  0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]
 [-0.01748367  0.10106057 -0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]]","[2036. 2113. 1058. 2036. 2256.  915. 2059. 2256.  915. 2059. 2113. 1058.
 2036. 2113. 1058. 2036. 2256.  915.]","[2047. 2116. 1057. 2046. 2258.  916. 2048. 2258.  914. 2049. 2115. 1058.
 2047. 2116. 1057. 2047. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0879  -0.2666
   0.957 ]",112
3,0,"[[ 0.02621052 -0.10140251  0.52859749]
 [-0.02621052 -0.31985972  0.31014028]
 [ 0.02621052 -0.10140251  0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]
 [-0.02621052  0.10140251 -0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]]","[2030. 2114. 1057. 2030. 2256.  915. 2065. 2256.  915. 2065. 2114. 1057.
 2030. 2114. 1057. 2030. 2256.  915.]","[2044. 2116. 1056. 2045. 2258.  916. 2050. 2258.  914. 2051. 2115. 1058.
 2044. 2116. 1057. 2044. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0874  -0.2656
   0.9585]",112
4,0,"[[ 0.03491941 -0.10188055  0.52811945]
 [-0.03491941 -0.3198119   0.3101881 ]
 [ 0.03491941 -0.10188055  0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]
 [-0.03491941  0.10188055 -0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]]","[2025. 2114. 1057. 2025. 2256.  915. 2070. 2256.  915. 2070. 2114. 1057.
 2025. 2114. 1057. 2025. 2256.  915.]","[2039. 2116. 1057. 2041. 2258.  916. 2054. 2259.  914. 2054. 2115. 1058.
 2039. 2116. 1057. 2040. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0874  -0.2637
   0.957 ]",112
5,0,"[[ 0.04360436 -0.10249437  0.52750563]
 [-0.04360436 -0.31975051  0.31024949]
 [ 0.04360436 -0.10249437  0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]
 [-0.04360436  0.10249437 -0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]]","[2019. 2114. 1057. 2019. 2256.  915. 2076. 2256.  915. 2076. 2114. 1057.
 2019. 2114. 1057. 2019. 2256.  915.]","[2035. 2116. 1057. 2036. 2258.  916. 2059. 2258.  914. 2059. 2115. 1058.
 2034. 2116. 1057. 2034. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0869  -0.2695
   0.9585]",112
6,0,"[[ 0.05225943 -0.10324356  0.52675644]
 [-0.05225943 -0.31967558  0.31032442]
 [ 0.05225943 -0.10324356  0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]
 [-0.05225943  0.10324356 -0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]]","[2013. 2115. 1056. 2013. 2256.  915. 2082. 2256.  915. 2082. 2115. 1056.
 2013. 2115. 1056. 2013. 2256.  915.]","[2029. 2116. 1057. 2030. 2258.  916. 2064. 2258.  914. 2064. 2115. 1058.
 2029. 2116. 1057. 2029. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0874  -0.2656
   0.958 ]",112
7,0,"[[ 0.06087868 -0.1041276   0.5258724 ]
 [-0.06087868 -0.31958717  0.31041283]
 [ 0.06087868 -0.1041276   0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]
 [-0.06087868  0.1041276  -0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]]","[2008. 2115. 1056. 2008. 2256.  915. 2087. 2256.  915. 2087. 2115. 1056.
 2008. 2115. 1056. 2008. 2256.  915.]","[2024. 2116. 1056. 2024. 2258.  916. 2070. 2258.  914. 2070. 2115. 1058.
 2025. 2117. 1057. 2023. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0874  -0.2642
   0.9561]",112
8,0,"[[ 0.06945621 -0.10514588  0.52485412]
 [-0.06945621 -0.31948533  0.31051467]
 [ 0.06945621 -0.10514588  0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]
 [-0.06945621  0.10514588 -0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]]","[2002. 2116. 1055. 2002. 2256.  915. 2093. 2256.  915. 2093. 2116. 1055.
 2002. 2116. 1055. 2002. 2256.  915.]","[2018. 2116. 1056. 2018. 2258.  916. 2076. 2258.  914. 2075. 2116. 1058.
 2019. 2117. 1057. 2018. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0894  -0.2681
   0.9575]",112
9,0,"[[ 0.07798614 -0.1062977   0.5237023 ]
 [-0.07798614 -0.31937014  0.31062986]
 [ 0.07798614 -0.1062977   0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]
 [-0.07798614  0.1062977  -0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]]","[1997. 2117. 1054. 1997. 2256.  915. 2098. 2256.  915. 2098. 2117. 1054.
 1997. 2117. 1054. 1997. 2256.  915.]","[2013. 2117. 1056. 2014. 2258.  916. 2081. 2258.  914. 2081. 2116. 1057.
 2013. 2116. 1056. 2013. 2259.  916.]","[-15.222    5.136    6.218    0.       0.       0.      -0.0869  -0.2642
   0.957 ]",112
