count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [-1.43513841e-08 -3.19921411e-01  3.10078589e-01]
 [ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]
 [-1.43513841e-08  1.00785885e-01 -5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]]","[2047. 2113. 1058. 2047. 2256.  915. 2048. 2256.  915. 2048. 2113. 1058.
 2047. 2113. 1058. 2047. 2256.  915.]","[2048. 2115. 1057. 2048. 2247.  917. 2048. 2232.  922. 2047. 2115. 1057.
 2048. 2115. 1057. 2048. 2251.  914.]",[ 0.      0.      0.      0.      0.      0.     -0.0557 -0.2739  0.958 ],114
1,0,"[[ 0.00874484 -0.10085499  0.52914501]
 [-0.00874484 -0.31991449  0.31008551]
 [ 0.00874484 -0.10085499  0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]
 [-0.00874484  0.10085499 -0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]]","[2042. 2113. 1058. 2042. 2256.  915. 2053. 2256.  915. 2053. 2113. 1058.
 2042. 2113. 1058. 2042. 2256.  915.]","[2048. 2115. 1057. 2048. 2248.  917. 2048. 2232.  922. 2047. 2115. 1057.
 2048. 2115. 1057. 2048. 2251.  914.]","[-1.5617e+01  3.3400e+00  6.5528e+01  0.0000e+00  0.0000e+00  0.0000e+00
 -5.6600e-02 -2.7340e-01  9.6040e-01]",114
2,0,"[[ 0.01748367 -0.10106057  0.52893943]
 [-0.01748367 -0.31989392  0.31010608]
 [ 0.01748367 -0.10106057  0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]
 [-0.01748367  0.10106057 -0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]]","[2036. 2113. 1058. 2036. 2256.  915. 2059. 2256.  915. 2059. 2113. 1058.
 2036. 2113. 1058. 2036. 2256.  915.]","[2046. 2115. 1057. 2047. 2247.  917. 2048. 2232.  922. 2048. 2115. 1057.
 2047. 2116. 1057. 2047. 2251.  914.]","[-1.5617e+01  3.3340e+00  6.5528e+01  0.0000e+00  0.0000e+00  0.0000e+00
 -5.6200e-02 -2.7390e-01  9.5850e-01]",114
3,0,"[[ 0.02621052 -0.10140251  0.52859749]
 [-0.02621052 -0.31985972  0.31014028]
 [ 0.02621052 -0.10140251  0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]
 [-0.02621052  0.10140251 -0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]]","[2030. 2114. 1057. 2030. 2256.  915. 2065. 2256.  915. 2065. 2114. 1057.
 2030. 2114. 1057. 2030. 2256.  915.]","[2043. 2115. 1057. 2043. 2248.  917. 2051. 2232.  922. 2051. 2115. 1057.
 2043. 2115. 1057. 2044. 2251.  914.]","[-1.5617e+01  3.3400e+00  6.5528e+01  0.0000e+00  0.0000e+00  0.0000e+00
 -6.3000e-02 -2.8030e-01  9.5700e-01]",114
4,0,"[[ 0.03491941 -0.10188055  0.52811945]
 [-0.03491941 -0.3198119   0.3101881 ]
 [ 0.03491941 -0.10188055  0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]
 [-0.03491941  0.10188055 -0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]]","[2025. 2114. 1057. 2025. 2256.  915. 2070. 2256.  915. 2070. 2114. 1057.
 2025. 2114. 1057. 2025. 2256.  915.]","[2039. 2115. 1057. 2040. 2247.  917. 2055. 2232.  922. 2055. 2115. 1055.
 2039. 2115. 1057. 2040. 2250.  914.]","[-1.5612e+01  3.3400e+00  6.5533e+01  6.1000e-02 -1.2210e-01  2.4410e-01
 -6.6900e-02 -2.6070e-01  9.7120e-01]",114
5,0,"[[ 0.04360436 -0.10249437  0.52750563]
 [-0.04360436 -0.31975051  0.31024949]
 [ 0.04360436 -0.10249437  0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]
 [-0.04360436  0.10249437 -0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]]","[2019. 2114. 1057. 2019. 2256.  915. 2076. 2256.  915. 2076. 2114. 1057.
 2019. 2114. 1057. 2019. 2256.  915.]","[2034. 2115. 1057. 2035. 2248.  917. 2059. 2232.  922. 2060. 2115. 1055.
 2034. 2115. 1057. 2035. 2251.  914.]","[-1.5601e+01  3.3400e+00  6.5550e+01  4.8830e-01 -6.1000e-02  4.8830e-01
 -7.5700e-02 -2.4410e-01  9.6920e-01]",114
6,0,"[[ 0.05225943 -0.10324356  0.52675644]
 [-0.05225943 -0.31967558  0.31032442]
 [ 0.05225943 -0.10324356  0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]
 [-0.05225943  0.10324356 -0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]]","[2013. 2115. 1056. 2013. 2256.  915. 2082. 2256.  915. 2082. 2115. 1056.
 2013. 2115. 1056. 2013. 2256.  915.]","[2028. 2115. 1056. 2031. 2248.  917. 2064. 2232.  922. 2065. 2115. 1057.
 2029. 2115. 1057. 2031. 2251.  914.]","[-1.5573e+01  3.3450e+00  6.5572e+01  4.2720e-01  0.0000e+00  5.4930e-01
 -6.4900e-02 -2.3100e-01  9.5750e-01]",114
7,0,"[[ 0.06087868 -0.1041276   0.5258724 ]
 [-0.06087868 -0.31958717  0.31041283]
 [ 0.06087868 -0.1041276   0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]
 [-0.06087868  0.1041276  -0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]]","[2008. 2115. 1056. 2008. 2256.  915. 2087. 2256.  915. 2087. 2115. 1056.
 2008. 2115. 1056. 2008. 2256.  915.]","[2023. 2115. 1056. 2025. 2248.  917. 2069. 2232.  922. 2070. 2116. 1057.
 2024. 2115. 1057. 2025. 2250.  914.]","[-1.5557e+01  3.3560e+00  6.5594e+01 -6.1000e-02 -1.2210e-01  4.2720e-01
 -6.5400e-02 -2.1780e-01  9.6000e-01]",114
8,0,"[[ 0.06945621 -0.10514588  0.52485412]
 [-0.06945621 -0.31948533  0.31051467]
 [ 0.06945621 -0.10514588  0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]
 [-0.06945621  0.10514588 -0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]]","[2002. 2116. 1055. 2002. 2256.  915. 2093. 2256.  915. 2093. 2116. 1055.
 2002. 2116. 1055. 2002. 2256.  915.]","[2018. 2115. 1056. 2020. 2248.  917. 2074. 2232.  922. 2076. 2116. 1057.
 2019. 2115. 1057. 2020. 2251.  914.]","[-1.5551e+01  3.3560e+00  6.5616e+01 -3.6620e-01 -2.4410e-01  5.4930e-01
 -5.3700e-02 -2.1390e-01  9.7310e-01]",114
9,0,"[[ 0.07798614 -0.1062977   0.5237023 ]
 [-0.07798614 -0.31937014  0.31062986]
 [ 0.07798614 -0.1062977   0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]
 [-0.07798614  0.1062977  -0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]]","[1997. 2117. 1054. 1997. 2256.  915. 2098. 2256.  915. 2098. 2117. 1054.
 1997. 2117. 1054. 1997. 2256.  915.]","[2011. 2116. 1055. 2013. 2247.  917. 2082. 2232.  922. 2084. 2116. 1057.
 2011. 2116. 1056. 2011. 2251.  914.]","[-1.5546e+01  3.3560e+00  6.5638e+01 -3.0520e-01 -2.4410e-01  4.2720e-01
 -3.5200e-02 -2.2020e-01  9.7560e-01]",114
