timestep,vel_proxy_y
0,0.00606354
1,0.02576087
2,0.03684201
3,0.00498091
4,-0.00831701
5,0.00309726
6,-0.00089212
7,-0.02001382
8,-0.03142700
9,-0.04166060
10,-0.04540351
11,-0.04577002
12,-0.03541476
13,-0.02520576
14,-0.02440072
15,-0.02533013
16,-0.02647310
17,-0.01968567
18,-0.01387001
19,-0.01050738
20,-0.00401427
21,0.00207889
22,0.00671527
23,0.00954366
24,0.01075662
25,0.01162510
26,0.00350538
27,0.00450557
28,0.00654308
29,0.00797514
30,0.00115985
31,-0.00095680
32,-0.00131340
33,-0.00041135
34,-0.00078034
35,-0.00139464
36,-0.00219960
37,0.00127912
38,0.00880521
39,0.01108815
40,0.01281910
41,0.01515136
42,0.01596593
43,0.01687805
44,0.01692180
45,0.01892815
46,0.01623288
47,0.02138633
48,0.02085731
49,0.02030997
50,0.01993239
51,0.02311175
52,0.02817089
53,0.02541465
54,0.02791572
55,0.03138306
56,0.03137918
57,0.02911196
58,0.02649790
59,0.02509780
60,0.02251931
61,0.02251102
62,0.02187326
63,0.02616444
64,0.02176515
65,0.02501878
66,0.02820781
67,0.03322346
68,0.04357123
69,0.04655237
70,0.04829775
71,0.03573057
72,0.03824538
73,0.04108411
74,0.04181093
75,0.04277907
76,0.04504303
77,0.04694424
78,0.04823731
79,0.05117670
80,0.05184630
81,0.05059423
82,0.04834619
83,0.04755924
84,0.04686407
85,0.04716597
86,0.04677315
87,0.04630264
88,0.04590977
89,0.04266441
90,0.04049043
91,0.03995015
92,0.03756104
93,0.03388551
94,0.03239100
95,0.03289561
96,0.03345532
97,0.03327968
98,0.03761521
99,0.03953014
100,0.04311078
101,0.04381155
102,0.04478319
103,0.04794998
104,0.04327709
105,0.04228691
106,0.04120863
107,0.04047401
108,0.03962597
109,0.03812634
110,0.03846303
111,0.03906376
112,0.03971186
113,0.04123317
114,0.04280850
115,0.04150235
116,0.04178533
117,0.04544159
118,0.04365927
119,0.03882184
120,0.04235339
121,0.04526346
122,0.04578136
123,0.04644546
124,0.04639211
125,0.04539884
126,0.04403557
127,0.04284074
128,0.04327139
129,0.04561681
130,0.04260220
131,0.03946953
132,0.03922367
133,0.03851169
134,0.03502802
135,0.03777549
136,0.04037739
137,0.04186010
138,0.04533960
139,0.04616959
140,0.04618788
141,0.04739931
142,0.04701323
143,0.04084070
144,0.03857930
145,0.03988456
146,0.03583945
147,0.03803743
148,0.03954203
149,0.03909282
150,0.03884440
151,0.03945988
152,0.04074656
153,0.04118575
154,0.04161944
155,0.04293633
156,0.04273786
157,0.04256820
158,0.04276318
159,0.04284675
160,0.04132749
161,0.04107846
162,0.03969591
163,0.04410367
164,0.03980485
165,0.04365808
166,0.04622156
167,0.04856955
168,0.04319137
169,0.04440048
170,0.04445323
171,0.04321853
172,0.04295650
173,0.04992611
174,0.05152253
175,0.05258780
176,0.05369726
177,0.05356719
178,0.05286117
179,0.05463226
180,0.05446199
181,0.05392301
182,0.05264325
183,0.05261387
184,0.05253067
185,0.05256041
186,0.05239930
187,0.05126657
188,0.05071944
189,0.04604657
190,0.04371095
191,0.04365190
192,0.04115235
193,0.03971036
194,0.04053300
195,0.04080121
196,0.04120877
197,0.04130221
198,0.04346133
199,0.04288608
200,0.04268365
201,0.03920157
202,0.04314163
203,0.04541995
204,0.04036908
205,0.04141983
206,0.04042946
207,0.03996869
208,0.04067789
209,0.03867799
210,0.03769756
211,0.03480435
212,0.03113953
213,0.02959055
214,0.03133390
215,0.03333096
216,0.02863961
217,0.02450825
218,0.01799091
219,0.01498273
220,0.01861790
221,0.02073522
222,0.02510062
223,0.03032281
224,0.03235386
225,0.03511469
226,0.03200907
227,0.03467128
228,0.03566329
229,0.03979872
230,0.03546248
231,0.03230919
232,0.03289055
233,0.03108681
234,0.03026539
235,0.03201998
236,0.03286520
237,0.03520405
238,0.04300381
239,0.03926380
240,0.03632748
241,0.03722450
242,0.03593951
243,0.02778322
244,0.02683690
245,0.02291016
246,0.01759352
247,0.02507483
248,0.02543369
249,0.02847460
250,0.03283796
251,0.03567792
252,0.03771197
253,0.03691126
254,0.03094721
255,0.02705717
256,0.02640790
257,0.02653981
258,0.02740033
259,0.02695185
260,0.02537181
261,0.02571640
262,0.02462542
263,0.02507473
264,0.01777259
265,0.02118229
266,0.02674660
267,0.03029366
268,0.02650947
269,0.03001087
270,0.03479944
271,0.03896954
272,0.04712691
273,0.05670933
274,0.05475774
275,0.04945813
276,0.04438021
277,0.03164472
278,0.03219167
279,0.02895006
280,0.02551351
281,0.02375407
282,0.03130179
283,0.03453237
284,0.01336296
285,-0.00574196
286,-0.00642167
287,-0.00411542
288,-0.00025410
289,0.00222673
290,0.00957971
291,0.02715399
292,0.04164182
293,0.04044243
294,0.03314194
295,0.01647047
296,-0.00370820
297,-0.01155443
298,0.00043822
299,0.00740971
300,0.00992376
301,0.01078754
302,0.00625800
303,0.00317720
304,-0.00433243
305,-0.00903111
306,-0.01332866
307,-0.01479849
308,-0.01412662
309,-0.01417806
310,-0.01487291
311,-0.01392843
312,-0.01044241
313,-0.00734186
314,-0.00193627
315,0.00147212
316,0.00538382
317,0.01146904
318,0.01204199
319,0.01363249
320,0.02279009
321,0.02858024
322,0.03337051
323,0.03807480
324,0.04043477
325,0.04078909
326,0.04172272
327,0.02843288
328,0.02323492
329,0.01740284
330,0.01130875
331,0.02122240
332,0.03271172
333,0.03457141
334,0.03312789
335,0.02936509
336,0.01216301
337,-0.00150075
338,-0.00477898
339,-0.00410029
340,0.01840534
341,0.02333605
342,0.01471801
343,0.00433754
344,0.01516138
345,0.02802726
346,0.03817501
347,0.04784324
348,0.04322655
349,0.02333724
350,0.00356275
351,0.00012110
352,0.00680460
353,0.01532828
354,0.01670750
355,0.01492448
356,0.00486714
357,-0.00022568
358,-0.00411784
359,-0.00649358
360,-0.00777700
361,-0.00763547
362,-0.00789452
363,-0.00379708
364,-0.00501280
365,0.00224384
366,0.00887159
367,0.01259904
368,0.01234304
369,0.01475882
370,0.02195332
371,0.02433389
372,0.02371482
373,0.02329546
374,0.02388651
375,0.02547435
376,0.02889280
377,0.03416198
378,0.03895913
379,0.03923591
380,0.03774012
381,0.03595630
382,0.03436625
383,0.03298545
384,0.03314930
385,0.03448651
386,0.03518641
387,0.03519485
388,0.03573107
389,0.03375220
390,0.03227117
391,0.03256864
392,0.03162403
393,0.02993732
394,0.03289749
395,0.03581825
396,0.03808762
397,0.03988108
398,0.04277959
399,0.04134117
400,0.04028038
401,0.03637192
402,0.02868215
403,0.02579718
404,0.02008102
405,0.02376303
406,0.02731356
407,0.02915083
408,0.03150120
409,0.02988364
410,0.03046279
411,0.03063888
412,0.03114162
413,0.03125922
414,0.03319357
