count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[ 0.00246961 -0.31564567  0.31435433]
 [ 0.30073229 -0.2875646   0.3424354 ]
 [-0.28488876 -0.29151417  0.33848583]
 [ 0.28488876  0.29151417 -0.33848583]
 [-0.00246961  0.31564567 -0.31435433]
 [-0.30073229  0.2875646  -0.3424354 ]]","[2046. 2253.  918. 1862. 2238.  933. 1851. 2235.  936. 2049. 2253.  918.
 2233. 2238.  933. 2244. 2235.  936.]","[2047. 2232.  923. 1865. 2231.  937. 1851. 2236.  935. 2048. 2247.  919.
 2230. 2231.  936. 2243. 2234.  935.]",[ 0.      0.      0.      0.      0.      0.     -0.0703 -0.2822  0.9556],114
1,0,"[[-0.00319611 -0.31587266  0.31412734]
 [ 0.30027673 -0.28788768  0.34211232]
 [-0.27999054 -0.2908356   0.3391644 ]
 [ 0.27999054  0.2908356  -0.3391644 ]
 [ 0.00319611  0.31587266 -0.31412734]
 [-0.30027673  0.28788768 -0.34211232]]","[2050. 2253.  918. 1865. 2237.  934. 1852. 2235.  936. 2045. 2253.  918.
 2230. 2237.  934. 2243. 2235.  936.]","[2048. 2232.  922. 1865. 2231.  937. 1852. 2237.  935. 2048. 2247.  919.
 2230. 2231.  936. 2243. 2234.  935.]","[-16.161    4.12    67.061    0.       0.       0.      -0.0703  -0.2832
   0.9561]",114
2,0,"[[-0.00886072 -0.31609305  0.31390695]
 [ 0.29976299 -0.28821553  0.34178447]
 [-0.27455254 -0.2901706   0.3398294 ]
 [ 0.27455254  0.2901706  -0.3398294 ]
 [ 0.00886072  0.31609305 -0.31390695]
 [-0.29976299  0.28821553 -0.34178447]]","[2053. 2254.  917. 1869. 2237.  934. 1852. 2235.  936. 2042. 2254.  917.
 2226. 2237.  934. 2243. 2235.  936.]","[2049. 2232.  922. 1865. 2231.  937. 1852. 2236.  935. 2047. 2247.  919.
 2230. 2231.  936. 2242. 2234.  935.]","[-16.161    4.125   67.061    0.       0.       0.      -0.0708  -0.2822
   0.9561]",114
3,0,"[[-0.01452223 -0.31630674  0.31369326]
 [ 0.29919069 -0.28854795  0.34145205]
 [-0.2685936  -0.28952027  0.34047973]
 [ 0.2685936   0.28952027 -0.34047973]
 [ 0.01452223  0.31630674 -0.31369326]
 [-0.29919069  0.28854795 -0.34145205]]","[2057. 2254.  917. 1872. 2236.  935. 1852. 2236.  935. 2038. 2254.  917.
 2223. 2236.  935. 2243. 2236.  935.]","[2050. 2232.  922. 1866. 2231.  937. 1852. 2236.  935. 2047. 2247.  919.
 2230. 2231.  936. 2243. 2234.  935.]","[-16.161    4.125   67.061    0.       0.       0.      -0.0708  -0.2827
   0.9565]",114
4,0,"[[-0.02017865 -0.31651368  0.31348632]
 [ 0.29855952 -0.28888477  0.34111523]
 [-0.26213321 -0.2888857   0.3411143 ]
 [ 0.26213321  0.2888857  -0.3411143 ]
 [ 0.02017865  0.31651368 -0.31348632]
 [-0.29855952  0.28888477 -0.34111523]]","[2061. 2254.  917. 1877. 2236.  935. 1853. 2236.  935. 2034. 2254.  917.
 2218. 2236.  935. 2242. 2236.  935.]","[2051. 2232.  923. 1868. 2231.  938. 1851. 2236.  935. 2046. 2247.  919.
 2230. 2231.  937. 2243. 2235.  935.]","[-16.161    4.125   67.061    0.       0.       0.      -0.0684  -0.2803
   0.9575]",114
5,0,"[[-0.02582803 -0.31671379  0.31328621]
 [ 0.29786919 -0.28922579  0.34077421]
 [-0.25519148 -0.28826795  0.34173205]
 [ 0.25519148  0.28826795 -0.34173205]
 [ 0.02582803  0.31671379 -0.31328621]
 [-0.29786919  0.28922579 -0.34077421]]","[2064. 2254.  917. 1881. 2235.  936. 1853. 2236.  935. 2031. 2254.  917.
 2214. 2235.  936. 2242. 2236.  935.]","[2052. 2232.  922. 1871. 2231.  938. 1851. 2237.  935. 2043. 2247.  919.
 2228. 2231.  936. 2243. 2235.  935.]","[-1.6161e+01  4.1200e+00  6.7055e+01  0.0000e+00  0.0000e+00 -1.2210e-01
 -6.2000e-02 -2.7830e-01  9.4680e-01]",114
6,0,"[[-0.03146837 -0.316907    0.313093  ]
 [ 0.29711943 -0.28957081  0.34042919]
 [-0.24778902 -0.28766807  0.34233193]
 [ 0.24778902  0.28766807 -0.34233193]
 [ 0.03146837  0.316907   -0.313093  ]
 [-0.29711943  0.28957081 -0.34042919]]","[2068. 2254.  917. 1886. 2235.  936. 1854. 2236.  935. 2027. 2254.  917.
 2209. 2235.  936. 2241. 2236.  935.]","[2055. 2232.  922. 1872. 2231.  939. 1852. 2236.  935. 2039. 2247.  919.
 2224. 2231.  937. 2243. 2235.  935.]","[-1.6161e+01  4.1200e+00  6.7044e+01 -6.1000e-02  0.0000e+00 -2.4410e-01
 -8.1100e-02 -2.8030e-01  9.6530e-01]",114
7,0,"[[-0.0370977  -0.31709324  0.31290676]
 [ 0.29630997 -0.28991966  0.34008034]
 [-0.23994689 -0.28708707  0.34291293]
 [ 0.23994689  0.28708707 -0.34291293]
 [ 0.0370977   0.31709324 -0.31290676]
 [-0.29630997  0.28991966 -0.34008034]]","[2072. 2254.  917. 1891. 2235.  936. 1854. 2236.  934. 2023. 2254.  917.
 2204. 2235.  936. 2241. 2236.  934.]","[2058. 2232.  922. 1876. 2231.  939. 1852. 2236.  935. 2035. 2247.  919.
 2219. 2231.  937. 2242. 2234.  935.]","[-1.6161e+01  4.1250e+00  6.7044e+01 -6.1000e-02  0.0000e+00  6.1000e-02
 -8.8400e-02 -2.7930e-01  9.4780e-01]",114
8,0,"[[-0.04271407 -0.31727245  0.31272755]
 [ 0.29544057 -0.29027214  0.33972786]
 [-0.23168654 -0.27637092  0.35362908]
 [ 0.23168654  0.27637092 -0.35362908]
 [ 0.04271407  0.31727245 -0.31272755]
 [-0.29544057  0.29027214 -0.33972786]]","[2075. 2254.  917. 1896. 2228.  943. 1855. 2237.  934. 2020. 2254.  917.
 2199. 2228.  943. 2240. 2237.  934.]","[2061. 2232.  922. 1879. 2230.  939. 1852. 2237.  935. 2032. 2247.  919.
 2215. 2231.  937. 2242. 2235.  934.]","[-1.6172e+01  4.1250e+00  6.7066e+01 -1.8310e-01 -6.1000e-02  4.2720e-01
 -5.9100e-02 -2.8660e-01  9.5650e-01]",114
9,0,"[[-0.0483155  -0.31744457  0.31255543]
 [ 0.294511   -0.29062807  0.33937193]
 [-0.22302972 -0.25835987  0.37164013]
 [ 0.22302972  0.25835987 -0.37164013]
 [ 0.0483155   0.31744457 -0.31255543]
 [-0.294511    0.29062807 -0.33937193]]","[2079. 2254.  917. 1902. 2216.  955. 1856. 2237.  934. 2016. 2254.  917.
 2193. 2216.  955. 2239. 2237.  934.]","[2064. 2232.  923. 1884. 2229.  941. 1852. 2236.  935. 2029. 2247.  919.
 2211. 2229.  939. 2241. 2236.  935.]","[-1.6172e+01  4.1310e+00  6.7077e+01 -6.1000e-02  0.0000e+00  2.4410e-01
 -5.7100e-02 -2.7440e-01  9.5210e-01]",114
10,0,"[[-0.05390003 -0.31760955  0.31239045]
 [ 0.29352105 -0.29098726  0.33901274]
 [-0.21399843 -0.24107312  0.38892688]
 [ 0.21399843  0.24107312 -0.38892688]
 [ 0.05390003  0.31760955 -0.31239045]
 [-0.29352105  0.29098726 -0.33901274]]","[2083. 2255.  916. 1908. 2205.  966. 1856. 2237.  934. 2012. 2255.  916.
 2187. 2205.  966. 2239. 2237.  934.]","[2068. 2233.  922. 1890. 2223.  945. 1853. 2236.  935. 2025. 2246.  919.
 2206. 2222.  940. 2240. 2236.  934.]","[-1.6183e+01  4.1310e+00  6.7077e+01 -3.6620e-01  0.0000e+00  0.0000e+00
 -6.0500e-02 -2.7640e-01  9.5560e-01]",114
11,0,"[[-0.05946572 -0.31776733  0.31223267]
 [ 0.29247053 -0.29134954  0.33865046]
 [-0.20461489 -0.22454007  0.40545993]
 [ 0.20461489  0.22454007 -0.40545993]
 [ 0.05946572  0.31776733 -0.31223267]
 [-0.29247053  0.29134954 -0.33865046]]","[2086. 2255.  916. 1914. 2194.  977. 1857. 2237.  934. 2009. 2255.  916.
 2181. 2194.  977. 2238. 2237.  934.]","[2071. 2233.  921. 1895. 2217.  951. 1854. 2237.  935. 2021. 2246.  919.
 2201. 2216.  946. 2239. 2236.  934.]","[-16.183    4.136   67.083    0.       0.1221   0.1831  -0.1196  -0.2715
   0.9761]",114
12,0,"[[-0.06501061 -0.31791785  0.31208215]
 [ 0.29135924 -0.29171471  0.33828529]
 [-0.19490142 -0.20878889  0.42121111]
 [ 0.19490142  0.20878889 -0.42121111]
 [ 0.06501061  0.31791785 -0.31208215]
 [-0.29135924  0.29171471 -0.33828529]]","[2090. 2255.  916. 1920. 2184.  987. 1858. 2238.  933. 2005. 2255.  916.
 2175. 2184.  987. 2237. 2238.  933.]","[2072. 2233.  921. 1900. 2213.  957. 1855. 2236.  939. 2019. 2246.  919.
 2197. 2209.  952. 2239. 2236.  934.]","[-16.166    4.18    67.148    0.1221   0.2441   1.8311  -0.1479  -0.2622
   0.8921]",114
13,0,"[[-0.07053277 -0.31806108  0.31193892]
 [ 0.29018702 -0.2920826   0.3379174 ]
 [-0.18488043 -0.19384647  0.43615353]
 [ 0.18488043  0.19384647 -0.43615353]
 [ 0.07053277  0.31806108 -0.31193892]
 [-0.29018702  0.2920826  -0.3379174 ]]","[2093. 2255.  916. 1927. 2174.  997. 1858. 2238.  933. 2002. 2255.  916.
 2168. 2174.  997. 2237. 2238.  933.]","[2075. 2234.  921. 1907. 2205.  967. 1858. 2235.  938. 2014. 2246.  919.
 2192. 2200.  961. 2238. 2236.  933.]","[-1.6144e+01  4.2190e+00  6.7302e+01  2.0142e+00 -6.7140e-01  3.9673e+00
 -5.4000e-03 -2.3580e-01  1.0576e+00]",114
14,0,"[[-0.07603026 -0.31819696  0.31180304]
 [ 0.28895374 -0.29245303  0.33754697]
 [-0.17457437 -0.1797383   0.4502617 ]
 [ 0.17457437  0.1797383  -0.4502617 ]
 [ 0.07603026  0.31819696 -0.31180304]
 [-0.28895374  0.29245303 -0.33754697]]","[2097. 2255.  916. 1934. 2165. 1006. 1859. 2238.  933. 1998. 2255.  916.
 2161. 2165. 1006. 2236. 2238.  933.]","[2079. 2233.  921. 1916. 2196.  977. 1859. 2233.  937. 2010. 2246.  918.
 2186. 2191.  972. 2237. 2235.  932.]","[-1.6029e+01  4.2350e+00  6.7451e+01  3.2349e+00 -7.9350e-01  2.3193e+00
  7.3000e-03 -2.4950e-01  9.4580e-01]",114
15,0,"[[-0.08150117 -0.31832546  0.31167454]
 [ 0.28765924 -0.29282582  0.33717418]
 [-0.16400567 -0.16648852  0.46351148]
 [ 0.16400567  0.16648852 -0.46351148]
 [ 0.08150117  0.31832546 -0.31167454]
 [-0.28765924  0.29282582 -0.33717418]]","[2101. 2255.  916. 1941. 2156. 1015. 1860. 2238.  933. 1994. 2255.  916.
 2154. 2156. 1015. 2235. 2238.  933.]","[2083. 2233.  921. 1922. 2186.  986. 1860. 2233.  936. 2006. 2246.  918.
 2178. 2182.  982. 2236. 2235.  932.]","[-1.5875e+01  4.2130e+00  6.7522e+01  3.9673e+00 -8.5450e-01 -1.2210e-01
 -4.6400e-02 -2.7830e-01  1.0054e+00]",114
16,0,"[[-0.08694358 -0.31844654  0.31155346]
 [ 0.28630341 -0.29320079  0.33679921]
 [-0.15319668 -0.15411979  0.47588021]
 [ 0.15319668  0.15411979 -0.47588021]
 [ 0.08694358  0.31844654 -0.31155346]
 [-0.28630341  0.29320079 -0.33679921]]","[2104. 2255.  916. 1948. 2148. 1023. 1861. 2239.  932. 1991. 2255.  916.
 2147. 2148. 1023. 2234. 2239.  932.]","[2088. 2233.  921. 1927. 2176.  996. 1860. 2232.  936. 2002. 2246.  918.
 2171. 2176.  993. 2235. 2235.  932.]","[-15.705    4.169   67.505    4.3335  -0.1221  -1.9531  -0.0933  -0.3027
   0.9629]",114
17,0,"[[-0.08958409 -0.31850067  0.31149933]
 [ 0.28559207 -0.29344806  0.33655194]
 [-0.1480412  -0.15054176  0.47945824]
 [ 0.1480412   0.15054176 -0.47945824]
 [ 0.08958409  0.31850067 -0.31149933]
 [-0.28559207  0.29344806 -0.33655194]]","[2106. 2255.  916. 1951. 2146. 1025. 1861. 2239.  932. 1989. 2255.  916.
 2144. 2146. 1025. 2234. 2239.  932.]","[2093. 2233.  921. 1935. 2165. 1007. 1861. 2232.  935. 1998. 2247.  918.
 2161. 2167. 1005. 2235. 2235.  933.]","[-15.529    4.136   67.423    4.7607   0.1221  -2.8076  -0.126   -0.3213
   0.9229]",114
