count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[-0.00061915 -0.30520541  0.32479459]
 [-0.30016325 -0.2983252   0.3316748 ]
 [ 0.29447661 -0.29248257  0.33751743]
 [ 0.02049009  0.30306164 -0.32693836]
 [ 0.22660214  0.30948477 -0.32051523]
 [-0.21635631  0.29793346 -0.33206654]]","[2048. 2246.  925. 2034. 2245.  926. 2243. 2242.  929. 1900. 2249.  922.
 1856. 2238.  933. 2189. 2242.  929.]","[2047. 2239.  941. 2035. 2238.  940. 2242. 2242.  930. 1904. 2244.  930.
 1861. 2228.  954. 2185. 2240.  934.]",[ 0.      0.      0.      0.      0.      0.     -0.0723 -0.2817  0.9556],122
1,0,"[[-0.00534039 -0.30534061  0.32465939]
 [-0.29585698 -0.2976124   0.3323876 ]
 [ 0.2938008  -0.29259049  0.33740951]
 [-0.00437088  0.30223726 -0.32776274]
 [ 0.23003998  0.30951594 -0.32048406]
 [-0.21346898  0.29809013 -0.33190987]]","[2051. 2247.  924. 2050. 2245.  926. 2240. 2242.  929. 1898. 2249.  922.
 1856. 2238.  933. 2187. 2242.  929.]","[2047. 2240.  941. 2035. 2238.  940. 2242. 2242.  930. 1904. 2244.  930.
 1861. 2228.  953. 2186. 2240.  934.]","[-16.089    4.274   17.243    0.       0.       0.      -0.0728  -0.2812
   0.9561]",122
2,0,"[[-0.01006032 -0.30547425  0.32452575]
 [-0.28946933 -0.29691262  0.33308738]
 [ 0.29309332 -0.29270031  0.33729969]
 [-0.02903837  0.30139556 -0.32860444]
 [ 0.2334066   0.30954436 -0.32045564]
 [-0.2105389   0.29824709 -0.33175291]]","[2054. 2247.  924. 2066. 2244.  927. 2236. 2241.  930. 1895. 2249.  922.
 1856. 2238.  933. 2185. 2242.  929.]","[2048. 2240.  940. 2036. 2238.  940. 2242. 2242.  930. 1904. 2244.  930.
 1861. 2228.  954. 2186. 2240.  934.]","[-16.089    4.274   17.243    0.       0.       0.      -0.0728  -0.2812
   0.9556]",122
3,0,"[[-0.01477781 -0.30560631  0.32439369]
 [-0.28108003 -0.29622991  0.33377009]
 [ 0.29235393 -0.29281199  0.33718801]
 [-0.05334912  0.30054318 -0.32945682]
 [ 0.23670119  0.30957004 -0.32042996]
 [-0.20756651  0.2984043  -0.3315957 ]]","[2057. 2247.  924. 2082. 2243.  928. 2231. 2241.  930. 1893. 2249.  922.
 1857. 2238.  933. 2183. 2242.  929.]","[2049. 2240.  941. 2044. 2238.  940. 2241. 2242.  929. 1903. 2244.  930.
 1861. 2228.  954. 2185. 2239.  934.]","[-16.089    4.274   17.243    0.       0.       0.      -0.0718  -0.2822
   0.9565]",122
4,0,"[[-0.01949172 -0.30573675  0.32426325]
 [-0.27078544 -0.29556825  0.33443175]
 [ 0.29158241 -0.29292547  0.33707453]
 [-0.07714838  0.29968682 -0.33031318]
 [ 0.23992296  0.30959296 -0.32040704]
 [-0.20455225  0.29856172 -0.33143828]]","[2060. 2247.  924. 2098. 2243.  928. 2224. 2240.  931. 1891. 2249.  922.
 1857. 2238.  933. 2181. 2242.  929.]","[2051. 2240.  941. 2054. 2238.  940. 2239. 2242.  930. 1902. 2243.  930.
 1861. 2228.  953. 2184. 2240.  934.]","[-16.089    4.274   17.243    0.       0.       0.      -0.0562  -0.2847
   0.9507]",122
5,0,"[[-0.02420088 -0.30586553  0.32413447]
 [-0.25869476 -0.29493147  0.33506853]
 [ 0.29077853 -0.2930407   0.3369593 ]
 [-0.1002906   0.29883321 -0.33116679]
 [ 0.24307114  0.30961312 -0.32038688]
 [-0.20149655  0.29871931 -0.33128069]]","[2063. 2247.  924. 2113. 2242.  929. 2216. 2240.  931. 1889. 2249.  922.
 1858. 2239.  932. 2179. 2242.  929.]","[2053. 2240.  941. 2066. 2239.  939. 2235. 2242.  930. 1901. 2244.  930.
 1861. 2228.  953. 2183. 2240.  934.]","[-16.106    4.263   17.216   -0.2441   0.1221  -0.6714  -0.0483  -0.2886
   0.9507]",122
6,0,"[[-0.02890418 -0.30599263  0.32400737]
 [-0.24492744 -0.29432328  0.33567672]
 [ 0.28994207 -0.29315763  0.33684237]
 [-0.12263994  0.29798903 -0.33201097]
 [ 0.24614498  0.3096305  -0.3203695 ]
 [-0.19839989  0.29887702 -0.33112298]]","[2066. 2247.  924. 2127. 2242.  929. 2207. 2239.  932. 1887. 2249.  922.
 1858. 2239.  932. 2177. 2242.  929.]","[2055. 2240.  941. 2079. 2238.  939. 2229. 2241.  930. 1900. 2244.  930.
 1861. 2228.  952. 2181. 2240.  934.]","[-16.117    4.252   17.172   -0.1831   0.1221  -1.0986  -0.0723  -0.3091
   0.9785]",122
7,0,"[[-0.03360045 -0.30611801  0.32388199]
 [-0.22961119 -0.29374723  0.33625277]
 [ 0.28907281 -0.2932762   0.3367238 ]
 [-0.14407058  0.29716088 -0.33283912]
 [ 0.24914374  0.30964511 -0.32035489]
 [-0.19526273  0.29903481 -0.33096519]]","[2069. 2247.  924. 2141. 2241.  930. 2197. 2239.  932. 1885. 2249.  922.
 1859. 2239.  932. 2175. 2242.  929.]","[2057. 2240.  941. 2093. 2239.  938. 2222. 2241.  931. 1899. 2243.  930.
 1861. 2228.  951. 2181. 2240.  934.]","[-16.117    4.246   17.128    0.3052   0.1221  -1.0376  -0.0913  -0.3096
   0.9585]",122
8,0,"[[-0.03828857 -0.30624164  0.32375836]
 [-0.21288019 -0.29320669  0.33679331]
 [ 0.28817055 -0.29339637  0.33660363]
 [-0.164467    0.29635522 -0.33364478]
 [ 0.25206674  0.30965694 -0.32034306]
 [-0.19208556  0.29919265 -0.33080735]]","[2072. 2247.  924. 2155. 2241.  930. 2186. 2239.  932. 1883. 2249.  922.
 1860. 2239.  932. 2173. 2243.  928.]","[2060. 2240.  940. 2107. 2238.  937. 2213. 2240.  930. 1898. 2243.  930.
 1861. 2228.  950. 2181. 2239.  934.]","[-16.1      4.241   17.1      0.6104   0.061   -0.6714  -0.1006  -0.2847
   0.9487]",122
9,0,"[[-0.04296738 -0.3063635   0.3236365 ]
 [-0.19487359 -0.29270483  0.33729517]
 [ 0.28723508 -0.29351809  0.33648191]
 [-0.18372399  0.29557831 -0.33442169]
 [ 0.2549133   0.30966602 -0.32033398]
 [-0.18886887  0.29935049 -0.33064951]]","[2076. 2247.  924. 2167. 2240.  931. 2175. 2238.  933. 1881. 2249.  922.
 1860. 2239.  932. 2171. 2243.  928.]","[2063. 2240.  938. 2126. 2238.  936. 2201. 2240.  931. 1896. 2243.  930.
 1862. 2228.  949. 2179. 2240.  934.]","[-16.078    4.246   17.089    0.5493   0.061   -0.3662  -0.1055  -0.2524
   0.9414]",122
10,0,"[[-0.04763577 -0.30648354  0.32351646]
 [-0.17573402 -0.29224458  0.33775542]
 [ 0.2862662  -0.2936413   0.3363587 ]
 [-0.2017467   0.29483616 -0.33516384]
 [ 0.25768275  0.30967247 -0.32032753]
 [-0.18561316  0.29950829 -0.33049171]]","[2079. 2247.  924. 2179. 2240.  931. 2162. 2238.  933. 1880. 2249.  922.
 1861. 2239.  932. 2169. 2243.  928.]","[2065. 2240.  937. 2135. 2238.  936. 2193. 2240.  931. 1895. 2243.  931.
 1861. 2228.  948. 2177. 2240.  934.]","[-16.078    4.263   17.067   -0.1221   0.3052  -0.3052  -0.0806  -0.2432
   0.9678]",122
11,0,"[[-0.05229258 -0.30660174  0.32339826]
 [-0.15560631 -0.26783172  0.36216828]
 [ 0.28526371 -0.29376596  0.33623404]
 [-0.21845052  0.29413449 -0.33586551]
 [ 0.26037448  0.30967664 -0.32032336]
 [-0.18231897  0.29966602 -0.33033398]]","[2082. 2247.  924. 2190. 2239.  932. 2149. 2222.  949. 1878. 2249.  922.
 1862. 2239.  932. 2166. 2243.  928.]","[2068. 2240.  936. 2149. 2237.  936. 2183. 2240.  931. 1892. 2243.  931.
 1862. 2228.  947. 2175. 2240.  934.]","[-16.078    4.274   17.056   -0.061    0.1831   0.      -0.0747  -0.2432
   0.958 ]",122
12,0,"[[-0.0569367  -0.30671807  0.32328193]
 [-0.13463633 -0.2186115   0.4113885 ]
 [ 0.28422742 -0.29389202  0.33610798]
 [-0.23376088  0.29347869 -0.33652131]
 [ 0.26298787  0.30967775 -0.32032225]
 [-0.17898681  0.29982363 -0.33017637]]","[2085. 2247.  924. 2200. 2239.  932. 2135. 2190.  981. 1876. 2249.  922.
 1862. 2239.  932. 2164. 2243.  928.]","[2071. 2240.  936. 2160. 2237.  936. 2170. 2235.  934. 1891. 2243.  931.
 1862. 2228.  946. 2172. 2240.  934.]","[-16.073    4.29    17.056   -0.3662   0.1221   0.2441  -0.0605  -0.2563
   0.9551]",122
13,0,"[[-0.06156699 -0.3068325   0.3231675 ]
 [-0.11296987 -0.17591697  0.45408303]
 [ 0.28315715 -0.29401942  0.33598058]
 [-0.24761309  0.29287377 -0.33712623]
 [ 0.26552234  0.30965062 -0.32034938]
 [-0.17561724  0.29998108 -0.33001892]]","[2088. 2248.  923. 2209. 2238.  933. 2121. 2162. 1009. 1874. 2249.  922.
 1863. 2239.  932. 2162. 2243.  928.]","[2073. 2240.  936. 2171. 2236.  936. 2160. 2223.  947. 1887. 2243.  931.
 1863. 2228.  946. 2169. 2240.  934.]","[-16.078    4.301   17.062   -0.3052   0.1221   0.      -0.0532  -0.2739
   0.9624]",122
14,0,"[[-0.06618233 -0.306945    0.323055  ]
 [-0.09075176 -0.13999968  0.49000032]
 [ 0.28205272 -0.29414813  0.33585187]
 [-0.25995197  0.29232431 -0.33767569]
 [ 0.26797734  0.30953764 -0.32046236]
 [-0.1722108   0.30013833 -0.32986167]]","[2091. 2248.  923. 2217. 2238.  933. 2107. 2139. 1032. 1873. 2249.  922.
 1864. 2239.  932. 2160. 2243.  928.]","[2076. 2240.  936. 2182. 2236.  936. 2145. 2201.  969. 1885. 2243.  931.
 1864. 2228.  946. 2166. 2240.  934.]","[-16.078    4.307   17.062   -0.3662   0.061    0.      -0.0537  -0.2871
   0.958 ]",122
15,0,"[[-0.0707816  -0.30705555  0.32294445]
 [-0.06812502 -0.11107143  0.51892857]
 [ 0.28091396 -0.29427809  0.33572191]
 [-0.27073163  0.26860403 -0.36139597]
 [ 0.27035233  0.30935571 -0.32064429]
 [-0.16876806  0.30029536 -0.32970464]]","[2094. 2248.  923. 2224. 2223.  948. 2092. 2120. 1051. 1871. 2249.  922.
 1864. 2239.  932. 2158. 2243.  928.]","[2078. 2240.  936. 2190. 2235.  935. 2133. 2181.  990. 1883. 2243.  931.
 1865. 2228.  946. 2164. 2240.  934.]","[-16.089    4.307   17.062   -0.3662   0.061    0.      -0.0601  -0.2891
   0.9536]",122
16,0,"[[-0.07536368 -0.30716411  0.32283589]
 [-0.04523011 -0.08930297  0.54069703]
 [ 0.2797407  -0.29440926  0.33559074]
 [-0.27991508  0.21172497 -0.41827503]
 [ 0.27264679  0.30911168 -0.32088832]
 [-0.1652896   0.30045211 -0.32954789]]","[2097. 2248.  923. 2230. 2186.  985. 2077. 2106. 1065. 1870. 2249.  922.
 1865. 2239.  932. 2155. 2243.  928.]","[2081. 2240.  935. 2199. 2231.  938. 2119. 2160. 1011. 1882. 2243.  930.
 1865. 2228.  946. 2162. 2240.  934.]","[-16.095    4.307   17.056   -0.3052   0.061   -0.061   -0.0718  -0.2988
   0.9487]",122
