count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[-0.00898271 -0.08175208  0.54824792]
 [-0.18129578 -0.3184432   0.3115568 ]
 [ 0.24765445 -0.30247959  0.32752041]
 [-0.24765445  0.30247959 -0.32752041]
 [ 0.00898271  0.08175208 -0.54824792]
 [ 0.18129578  0.3184432  -0.3115568 ]]","[2053. 2101. 1070. 2209. 2245.  926. 2166. 2255.  916. 2042. 2101. 1070.
 1886. 2245.  926. 1929. 2255.  916.]","[2052. 2103. 1069. 2206. 2230.  931. 2166. 2246.  919. 2042. 2103. 1069.
 1889. 2233.  928. 1930. 2253.  916.]",[ 0.      0.      0.      0.      0.      0.     -0.0679 -0.3057  0.9487],114
1,0,"[[ 0.00203281 -0.08077628  0.54922372]
 [-0.18695075 -0.31822161  0.31177839]
 [ 0.24420544 -0.30287939  0.32712061]
 [-0.24420544  0.30287939 -0.32712061]
 [-0.00203281  0.08077628 -0.54922372]
 [ 0.18695075  0.31822161 -0.31177839]]","[2046. 2100. 1071. 2207. 2245.  926. 2169. 2255.  916. 2049. 2100. 1071.
 1888. 2245.  926. 1926. 2255.  916.]","[2052. 2103. 1069. 2206. 2230.  931. 2166. 2246.  919. 2042. 2103. 1069.
 1887. 2233.  928. 1930. 2254.  916.]","[-17.501    3.994   65.171    0.       0.       0.      -0.0679  -0.3047
   0.9492]",114
2,0,"[[ 0.01304564 -0.08052145  0.54947855]
 [-0.19252424 -0.31797773  0.31202227]
 [ 0.24063687 -0.30327772  0.32672228]
 [-0.24063687  0.30327772 -0.32672228]
 [-0.01304564  0.08052145 -0.54947855]
 [ 0.19252424  0.31797773 -0.31202227]]","[2039. 2100. 1071. 2204. 2245.  926. 2173. 2255.  916. 2056. 2100. 1071.
 1891. 2245.  926. 1922. 2255.  916.]","[2052. 2103. 1069. 2206. 2231.  931. 2166. 2246.  919. 2043. 2102. 1069.
 1887. 2233.  928. 1929. 2253.  916.]","[-17.501    3.994   65.171    0.       0.       0.      -0.0664  -0.3047
   0.9482]",114
3,0,"[[ 0.02404123 -0.0809081   0.5490919 ]
 [-0.19801151 -0.31771202  0.31228798]
 [ 0.23694838 -0.30367445  0.32632555]
 [-0.23694838  0.30367445 -0.32632555]
 [-0.02404123  0.0809081  -0.5490919 ]
 [ 0.19801151  0.31771202 -0.31228798]]","[2032. 2100. 1071. 2202. 2245.  926. 2177. 2255.  916. 2063. 2100. 1071.
 1893. 2245.  926. 1918. 2255.  916.]","[2049. 2103. 1070. 2205. 2230.  931. 2167. 2246.  919. 2045. 2102. 1069.
 1889. 2232.  928. 1927. 2254.  916.]","[-17.501    3.994   65.171    0.       0.       0.      -0.0669  -0.3057
   0.9487]",114
4,0,"[[ 0.03500503 -0.08140459  0.54859541]
 [-0.20340782 -0.317425    0.312575  ]
 [ 0.23313966 -0.30406943  0.32593057]
 [-0.23313966  0.30406943 -0.32593057]
 [-0.03500503  0.08140459 -0.54859541]
 [ 0.20340782  0.317425   -0.312575  ]]","[2025. 2101. 1070. 2199. 2246.  925. 2180. 2254.  917. 2070. 2101. 1070.
 1896. 2246.  925. 1915. 2254.  917.]","[2043. 2103. 1070. 2205. 2230.  931. 2169. 2246.  919. 2050. 2102. 1070.
 1889. 2233.  928. 1924. 2253.  916.]","[-17.501    3.994   65.171    0.       0.       0.      -0.0771  -0.3101
   0.9482]",114
5,0,"[[ 0.04592256 -0.08200489  0.54799511]
 [-0.20870844 -0.31711717  0.31288283]
 [ 0.22921056 -0.30446251  0.32553749]
 [-0.22921056  0.30446251 -0.32553749]
 [-0.04592256  0.08200489 -0.54799511]
 [ 0.20870844  0.31711717 -0.31288283]]","[2018. 2101. 1070. 2197. 2246.  925. 2184. 2254.  917. 2077. 2101. 1070.
 1898. 2246.  925. 1911. 2254.  917.]","[2037. 2102. 1069. 2204. 2230.  931. 2172. 2246.  919. 2057. 2102. 1069.
 1889. 2233.  928. 1921. 2253.  916.]","[-1.7501e+01  3.9940e+00  6.5171e+01  6.1000e-02  0.0000e+00  2.4410e-01
 -5.8600e-02 -2.9390e-01  9.5260e-01]",114
6,0,"[[ 0.05677938 -0.08279096  0.54720904]
 [-0.21390868 -0.31678908  0.31321092]
 [ 0.22516101 -0.30485353  0.32514647]
 [-0.22516101  0.30485353 -0.32514647]
 [-0.05677938  0.08279096 -0.54720904]
 [ 0.21390868  0.31678908 -0.31321092]]","[2010. 2101. 1069. 2194. 2246.  925. 2187. 2254.  917. 2085. 2101. 1069.
 1901. 2246.  925. 1908. 2254.  917.]","[2031. 2103. 1070. 2202. 2230.  931. 2175. 2246.  919. 2063. 2102. 1070.
 1891. 2233.  928. 1918. 2253.  916.]","[-1.7501e+01  3.9990e+00  6.5182e+01  0.0000e+00 -6.1000e-02  6.1000e-02
 -7.7100e-02 -2.8120e-01  9.5170e-01]",114
7,0,"[[ 0.06756114 -0.08378501  0.54621499]
 [-0.21900383 -0.31644127  0.31355873]
 [ 0.22099108 -0.30524237  0.32475763]
 [-0.22099108  0.30524237 -0.32475763]
 [-0.06756114  0.08378501 -0.54621499]
 [ 0.21900383  0.31644127 -0.31355873]]","[2003. 2102. 1069. 2192. 2246.  924. 2190. 2254.  917. 2092. 2102. 1069.
 1903. 2246.  924. 1905. 2254.  917.]","[2023. 2103. 1069. 2199. 2230.  931. 2178. 2246.  919. 2070. 2103. 1069.
 1894. 2233.  928. 1915. 2253.  916.]","[-1.7496e+01  3.9940e+00  6.5182e+01  6.1000e-02 -6.1000e-02  0.0000e+00
 -7.7100e-02 -2.7200e-01  9.5260e-01]",114
8,0,"[[ 0.07825359 -0.08499505  0.54500495]
 [-0.22398925 -0.3160743   0.3139257 ]
 [ 0.21670093 -0.30562886  0.32437114]
 [-0.21670093  0.30562886 -0.32437114]
 [-0.07825359  0.08499505 -0.54500495]
 [ 0.22398925  0.3160743  -0.3139257 ]]","[1996. 2103. 1068. 2189. 2247.  924. 2194. 2254.  917. 2099. 2103. 1068.
 1906. 2247.  924. 1901. 2254.  917.]","[2016. 2103. 1069. 2197. 2230.  931. 2182. 2246.  919. 2077. 2103. 1069.
 1896. 2232.  928. 1912. 2252.  916.]","[-17.485    3.994   65.182    0.       0.       0.      -0.0903  -0.271
   0.9663]",114
9,0,"[[ 0.08884258 -0.08642626  0.54357374]
 [-0.22886029 -0.31568876  0.31431124]
 [ 0.21229087 -0.30601287  0.32398713]
 [-0.21229087  0.30601287 -0.32398713]
 [-0.08884258  0.08642626 -0.54357374]
 [ 0.22886029  0.31568876 -0.31431124]]","[1990. 2104. 1067. 2186. 2247.  924. 2197. 2253.  918. 2105. 2104. 1067.
 1909. 2247.  924. 1898. 2253.  918.]","[2009. 2103. 1069. 2193. 2230.  931. 2185. 2246.  919. 2085. 2103. 1069.
 1900. 2233.  928. 1908. 2252.  917.]","[-1.7474e+01  3.9990e+00  6.5187e+01  0.0000e+00  0.0000e+00  6.1000e-02
 -7.1300e-02 -2.6760e-01  9.4580e-01]",114
