count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[-0.2924976  -0.29933726  0.33066274]
 [ 0.24547955 -0.29922965  0.33077035]
 [-0.11417238 -0.30869351  0.32130649]
 [-0.28319877  0.29507168 -0.33492832]
 [-0.11790907  0.30402832 -0.32597168]
 [-0.29200621  0.17066873 -0.45933127]]","[2238. 2243.  928. 2232. 2240.  931. 1887. 2243.  928. 2124. 2246.  925.
 2122. 2249.  922. 2238. 2159. 1012.]","[2241. 2239.  930. 2236. 2235.  928. 1887. 2245.  927. 2115. 2240.  928.
 2111. 2236.  919. 2237. 2161. 1012.]",[ 0.      0.      0.      0.      0.      0.     -0.0806 -0.2886  0.9521],119
1,0,"[[-0.2937075  -0.29867157  0.33132843]
 [ 0.24384434 -0.29936842  0.33063158]
 [-0.1182915  -0.30875842  0.32124158]
 [-0.28249137  0.29520332 -0.33479668]
 [-0.11437844  0.30415722 -0.32584278]
 [-0.2954852   0.18472085 -0.44527915]]","[2239. 2242.  929. 2232. 2240.  931. 1889. 2243.  928. 2122. 2246.  925.
 2125. 2249.  922. 2240. 2168. 1003.]","[2241. 2239.  930. 2236. 2235.  928. 1887. 2244.  927. 2114. 2240.  928.
 2111. 2236.  919. 2237. 2159. 1012.]","[-16.534    4.774   67.401    0.       0.       0.      -0.0811  -0.2886
   0.9521]",119
2,0,"[[-0.29484435 -0.29801434  0.33198566]
 [ 0.24218144 -0.29950693  0.33049307]
 [-0.12238738 -0.30882119  0.32117881]
 [-0.28176894  0.29533558 -0.33466442]
 [-0.11082265  0.30428508 -0.32571492]
 [-0.29752161  0.19985128 -0.43014872]]","[2240. 2242.  929. 2231. 2240.  931. 1890. 2243.  928. 2120. 2246.  925.
 2127. 2249.  922. 2241. 2178.  993.]","[2241. 2239.  930. 2236. 2235.  928. 1889. 2244.  927. 2114. 2240.  927.
 2111. 2236.  919. 2238. 2163. 1009.]","[-16.534    4.774   67.401    0.       0.       0.      -0.0815  -0.2886
   0.9526]",119
3,0,"[[-0.29590787 -0.29736846  0.33263154]
 [ 0.24049072 -0.29964515  0.33035485]
 [-0.12645907 -0.30888182  0.32111818]
 [-0.28103146  0.29546842 -0.33453158]
 [-0.10724219  0.30441187 -0.32558813]
 [-0.29809116  0.21609711 -0.41390289]]","[2240. 2241.  930. 2231. 2240.  931. 1891. 2243.  928. 2117. 2246.  925.
 2130. 2249.  922. 2242. 2188.  983.]","[2241. 2239.  930. 2236. 2235.  928. 1887. 2244.  927. 2114. 2240.  928.
 2111. 2236.  919. 2239. 2168. 1004.]","[-16.534    4.774   67.401    0.       0.       0.      -0.0801  -0.2886
   0.9502]",119
4,0,"[[-0.29689778 -0.29673675  0.33326325]
 [ 0.2387721  -0.29978305  0.33021695]
 [-0.13050562 -0.30894029  0.32105971]
 [-0.28027893  0.29560178 -0.33439822]
 [-0.10363759  0.30453757 -0.32546243]
 [-0.2979282   0.23342261 -0.39657739]]","[2241. 2241.  930. 2230. 2240.  931. 1892. 2243.  928. 2115. 2246.  925.
 2133. 2249.  922. 2242. 2200.  971.]","[2241. 2239.  931. 2235. 2235.  928. 1887. 2245.  927. 2114. 2240.  927.
 2113. 2236.  919. 2240. 2175.  997.]","[-16.534    4.774   67.401    0.       0.       0.      -0.0796  -0.2842
   0.9556]",119
5,0,"[[-0.29781386 -0.29612194  0.33387806]
 [ 0.23702547 -0.29992062  0.33007938]
 [-0.13452608 -0.3089966   0.3210034 ]
 [-0.27951133  0.29573564 -0.33426436]
 [-0.10000938  0.30466217 -0.32533783]
 [-0.29777517  0.25135625 -0.37864375]]","[2242. 2241.  930. 2230. 2240.  931. 1893. 2243.  928. 2113. 2246.  925.
 2135. 2249.  922. 2242. 2211.  960.]","[2242. 2239.  931. 2235. 2235.  928. 1889. 2244.  927. 2113. 2240.  928.
 2115. 2236.  918. 2241. 2184.  988.]","[-1.6534e+01  4.7740e+00  6.7401e+01  6.1000e-02  0.0000e+00  0.0000e+00
 -7.8600e-02 -2.8520e-01  9.5850e-01]",119
6,0,"[[-0.29865586 -0.29552668  0.33447332]
 [ 0.23525075 -0.30005784  0.32994216]
 [-0.1385195  -0.30905072  0.32094928]
 [-0.27872866  0.29586994 -0.33413006]
 [-0.0963581   0.30478563 -0.32521437]
 [-0.29763397  0.26989271 -0.36010729]]","[2242. 2240.  931. 2229. 2240.  931. 1894. 2243.  928. 2110. 2246.  925.
 2138. 2249.  922. 2242. 2223.  948.]","[2242. 2239.  931. 2235. 2235.  928. 1890. 2244.  927. 2112. 2240.  928.
 2117. 2236.  919. 2241. 2193.  978.]","[-16.529    4.774   67.396    0.1831   0.1221  -0.2441  -0.0811  -0.2764
   0.9634]",119
7,0,"[[-0.29942357 -0.29495354  0.33504646]
 [ 0.23344786 -0.30019468  0.32980532]
 [-0.14248495 -0.30910266  0.32089734]
 [-0.27793088  0.29600465 -0.33399535]
 [-0.09268431  0.30490795 -0.32509205]
 [-0.29748604  0.2890681  -0.3409319 ]]","[2243. 2240.  931. 2229. 2240.  931. 1895. 2243.  928. 2108. 2246.  925.
 2140. 2249.  922. 2241. 2236.  935.]","[2243. 2238.  931. 2234. 2235.  928. 1892. 2244.  927. 2110. 2240.  928.
 2119. 2236.  919. 2241. 2203.  970.]","[-16.518    4.779   67.385    0.1831   0.1831  -0.2441  -0.0918  -0.2671
   0.9438]",119
8,0,"[[-0.30011682 -0.29440499  0.33559501]
 [ 0.23161672 -0.30033112  0.32966888]
 [-0.14642149 -0.3091524   0.3208476 ]
 [-0.27711797  0.29613972 -0.33386028]
 [-0.08898856  0.30502909 -0.32497091]
 [-0.29732161  0.29142211 -0.33857789]]","[2243. 2239.  932. 2228. 2241.  930. 1897. 2243.  928. 2106. 2246.  925.
 2143. 2249.  922. 2241. 2237.  933.]","[2244. 2238.  931. 2233. 2235.  928. 1893. 2244.  927. 2108. 2240.  928.
 2122. 2236.  919. 2241. 2212.  960.]","[-1.6512e+01  4.7790e+00  6.7379e+01  0.0000e+00  0.0000e+00 -6.1000e-02
 -9.8600e-02 -2.7000e-01  9.5310e-01]",119
9,0,"[[-0.30073542 -0.29388341  0.33611659]
 [ 0.22975725 -0.30046714  0.32953286]
 [-0.15032819 -0.30919993  0.32080007]
 [-0.27628991  0.29627513 -0.33372487]
 [-0.08527143  0.30514905 -0.32485095]
 [-0.29713601  0.29150386 -0.33849614]]","[2244. 2239.  932. 2228. 2241.  930. 1898. 2243.  928. 2103. 2246.  925.
 2145. 2249.  922. 2241. 2238.  933.]","[2245. 2238.  932. 2233. 2235.  928. 1894. 2244.  927. 2106. 2241.  928.
 2124. 2236.  919. 2241. 2220.  951.]","[-16.512    4.779   67.379   -0.2441  -0.1221   0.1221  -0.0786  -0.2666
   0.959 ]",119
10,0,"[[-0.30127925 -0.29339109  0.33660891]
 [ 0.22786938 -0.30060272  0.32939728]
 [-0.15420412 -0.30924524  0.32075476]
 [-0.27544666  0.29641083 -0.33358917]
 [-0.0815335   0.30526779 -0.32473221]
 [-0.29692717  0.29158806 -0.33841194]]","[2244. 2239.  932. 2227. 2241.  930. 1899. 2243.  928. 2101. 2247.  924.
 2148. 2249.  922. 2241. 2238.  933.]","[2245. 2237.  932. 2232. 2235.  928. 1895. 2244.  927. 2104. 2241.  928.
 2126. 2236.  919. 2241. 2225.  946.]","[-1.6534e+01  4.7630e+00  6.7390e+01 -8.5450e-01 -5.4930e-01  0.0000e+00
 -6.4900e-02 -2.7440e-01  9.4240e-01]",119
11,0,"[[-0.3017482  -0.29293022  0.33706978]
 [ 0.22595306 -0.30073784  0.32926216]
 [-0.15804838 -0.30928833  0.32071167]
 [-0.27458818  0.29654678 -0.33345322]
 [-0.07777535  0.30538531 -0.32461469]
 [-0.29669426  0.29167466 -0.33832534]]","[2244. 2238.  933. 2227. 2241.  930. 1900. 2244.  927. 2098. 2247.  924.
 2151. 2249.  922. 2241. 2238.  933.]","[2245. 2237.  932. 2231. 2235.  928. 1896. 2245.  927. 2102. 2241.  927.
 2130. 2236.  919. 2241. 2228.  943.]","[-16.551    4.746   67.39    -0.5493  -0.3662  -0.1221  -0.0889  -0.2939
   0.9473]",119
