count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [-1.43513841e-08 -3.19921411e-01  3.10078589e-01]
 [ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]
 [-1.43513841e-08  1.00785885e-01 -5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]]","[2047. 2113. 1058. 2047. 2256.  915. 2048. 2256.  915. 2048. 2113. 1058.
 2047. 2113. 1058. 2047. 2256.  915.]","[2047. 2115. 1056. 2048. 2249.  914. 2048. 2238.  914. 2047. 2115. 1057.
 2048. 2115. 1057. 2048. 2252.  913.]",[ 0.      0.      0.      0.      0.      0.     -0.0684 -0.2827  0.9561],116
1,0,"[[ 0.00874484 -0.10085499  0.52914501]
 [-0.00874484 -0.31991449  0.31008551]
 [ 0.00874484 -0.10085499  0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]
 [-0.00874484  0.10085499 -0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]]","[2042. 2113. 1058. 2042. 2256.  915. 2053. 2256.  915. 2053. 2113. 1058.
 2042. 2113. 1058. 2042. 2256.  915.]","[2047. 2115. 1057. 2048. 2249.  914. 2048. 2239.  913. 2047. 2115. 1057.
 2048. 2115. 1057. 2048. 2252.  913.]","[-16.177    4.054   68.351    0.       0.       0.      -0.0684  -0.2827
   0.9551]",116
2,0,"[[ 0.01748367 -0.10106057  0.52893943]
 [-0.01748367 -0.31989392  0.31010608]
 [ 0.01748367 -0.10106057  0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]
 [-0.01748367  0.10106057 -0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]]","[2036. 2113. 1058. 2036. 2256.  915. 2059. 2256.  915. 2059. 2113. 1058.
 2036. 2113. 1058. 2036. 2256.  915.]","[2046. 2115. 1057. 2046. 2249.  914. 2048. 2238.  914. 2048. 2114. 1057.
 2047. 2115. 1057. 2046. 2252.  913.]","[-16.177    4.054   68.351    0.       0.       0.      -0.0688  -0.2827
   0.9561]",116
3,0,"[[ 0.02621052 -0.10140251  0.52859749]
 [-0.02621052 -0.31985972  0.31014028]
 [ 0.02621052 -0.10140251  0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]
 [-0.02621052  0.10140251 -0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]]","[2030. 2114. 1057. 2030. 2256.  915. 2065. 2256.  915. 2065. 2114. 1057.
 2030. 2114. 1057. 2030. 2256.  915.]","[2042. 2115. 1056. 2044. 2249.  914. 2051. 2239.  914. 2052. 2115. 1057.
 2043. 2115. 1057. 2043. 2252.  913.]","[-16.177    4.054   68.351    0.       0.       0.      -0.0742  -0.2866
   0.9521]",116
4,0,"[[ 0.03491941 -0.10188055  0.52811945]
 [-0.03491941 -0.3198119   0.3101881 ]
 [ 0.03491941 -0.10188055  0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]
 [-0.03491941  0.10188055 -0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]]","[2025. 2114. 1057. 2025. 2256.  915. 2070. 2256.  915. 2070. 2114. 1057.
 2025. 2114. 1057. 2025. 2256.  915.]","[2038. 2115. 1057. 2040. 2249.  914. 2056. 2238.  914. 2055. 2114. 1057.
 2039. 2116. 1057. 2040. 2252.  913.]","[-1.6177e+01  4.0480e+00  6.8362e+01  6.1000e-02 -1.2210e-01  2.4410e-01
 -7.8100e-02 -2.7540e-01  9.6680e-01]",116
5,0,"[[ 0.04360436 -0.10249437  0.52750563]
 [-0.04360436 -0.31975051  0.31024949]
 [ 0.04360436 -0.10249437  0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]
 [-0.04360436  0.10249437 -0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]]","[2019. 2114. 1057. 2019. 2256.  915. 2076. 2256.  915. 2076. 2114. 1057.
 2019. 2114. 1057. 2019. 2256.  915.]","[2034. 2115. 1057. 2036. 2248.  916. 2060. 2239.  914. 2060. 2115. 1057.
 2034. 2115. 1057. 2035. 2252.  913.]","[-16.161    4.054   68.384    0.2441  -0.1221   0.5493  -0.0928  -0.2588
   0.9575]",116
6,0,"[[ 0.05225943 -0.10324356  0.52675644]
 [-0.05225943 -0.31967558  0.31032442]
 [ 0.05225943 -0.10324356  0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]
 [-0.05225943  0.10324356 -0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]]","[2013. 2115. 1056. 2013. 2256.  915. 2082. 2256.  915. 2082. 2115. 1056.
 2013. 2115. 1056. 2013. 2256.  915.]","[2028. 2115. 1056. 2031. 2249.  916. 2065. 2238.  913. 2065. 2114. 1057.
 2030. 2115. 1057. 2030. 2252.  913.]","[-16.144    4.059   68.434    0.1221  -0.3052   1.0376  -0.0928  -0.2422
   0.9531]",116
7,0,"[[ 0.06087868 -0.1041276   0.5258724 ]
 [-0.06087868 -0.31958717  0.31041283]
 [ 0.06087868 -0.1041276   0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]
 [-0.06087868  0.1041276  -0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]]","[2008. 2115. 1056. 2008. 2256.  915. 2087. 2256.  915. 2087. 2115. 1056.
 2008. 2115. 1056. 2008. 2256.  915.]","[2023. 2115. 1056. 2025. 2249.  917. 2070. 2238.  913. 2071. 2115. 1057.
 2024. 2116. 1056. 2025. 2252.  913.]","[-16.144    4.065   68.489   -0.2441  -0.4272   1.2817  -0.0894  -0.231
   0.9556]",116
8,0,"[[ 0.06945621 -0.10514588  0.52485412]
 [-0.06945621 -0.31948533  0.31051467]
 [ 0.06945621 -0.10514588  0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]
 [-0.06945621  0.10514588 -0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]]","[2002. 2116. 1055. 2002. 2256.  915. 2093. 2256.  915. 2093. 2116. 1055.
 2002. 2116. 1055. 2002. 2256.  915.]","[2018. 2115. 1056. 2020. 2249.  917. 2075. 2239.  914. 2076. 2115. 1055.
 2019. 2116. 1056. 2019. 2252.  912.]","[-1.6150e+01  4.0650e+00  6.8538e+01 -6.1040e-01 -4.8830e-01  1.2207e+00
 -6.6900e-02 -2.2950e-01  9.6780e-01]",116
9,0,"[[ 0.07798614 -0.1062977   0.5237023 ]
 [-0.07798614 -0.31937014  0.31062986]
 [ 0.07798614 -0.1062977   0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]
 [-0.07798614  0.1062977  -0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]]","[1997. 2117. 1054. 1997. 2256.  915. 2098. 2256.  915. 2098. 2117. 1054.
 1997. 2117. 1054. 1997. 2256.  915.]","[2012. 2115. 1056. 2015. 2248.  918. 2081. 2238.  914. 2082. 2115. 1057.
 2013. 2116. 1056. 2014. 2252.  913.]","[-1.6155e+01  4.0650e+00  6.8577e+01 -6.7140e-01 -4.2720e-01  7.9350e-01
 -3.8100e-02 -2.3140e-01  9.7460e-01]",116
