count,T_count,theta_sim,theta_tick,position_Read_tick,IMU_data,voltage
0,0,"[[ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [-1.43513841e-08 -3.19921411e-01  3.10078589e-01]
 [ 1.43513841e-08 -1.00785885e-01  5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]
 [-1.43513841e-08  1.00785885e-01 -5.29214115e-01]
 [ 1.43513841e-08  3.19921411e-01 -3.10078589e-01]]","[2047. 2113. 1058. 2047. 2256.  915. 2048. 2256.  915. 2048. 2113. 1058.
 2047. 2113. 1058. 2047. 2256.  915.]","[2047. 2115. 1057. 2048. 2251.  911. 2047. 2241.  911. 2047. 2115. 1055.
 2048. 2115. 1056. 2045. 2251.  914.]",[ 0.      0.      0.      0.      0.      0.     -0.0732 -0.2725  0.959 ],120
1,0,"[[ 0.00874484 -0.10085499  0.52914501]
 [-0.00874484 -0.31991449  0.31008551]
 [ 0.00874484 -0.10085499  0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]
 [-0.00874484  0.10085499 -0.52914501]
 [ 0.00874484  0.31991449 -0.31008551]]","[2042. 2113. 1058. 2042. 2256.  915. 2053. 2256.  915. 2053. 2113. 1058.
 2042. 2113. 1058. 2042. 2256.  915.]","[2047. 2115. 1056. 2048. 2251.  911. 2047. 2242.  912. 2047. 2115. 1057.
 2048. 2115. 1057. 2046. 2251.  914.]","[-15.562    4.323   68.258    0.       0.       0.      -0.0732  -0.2725
   0.9595]",120
2,0,"[[ 0.01748367 -0.10106057  0.52893943]
 [-0.01748367 -0.31989392  0.31010608]
 [ 0.01748367 -0.10106057  0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]
 [-0.01748367  0.10106057 -0.52893943]
 [ 0.01748367  0.31989392 -0.31010608]]","[2036. 2113. 1058. 2036. 2256.  915. 2059. 2256.  915. 2059. 2113. 1058.
 2036. 2113. 1058. 2036. 2256.  915.]","[2045. 2115. 1057. 2046. 2250.  912. 2048. 2241.  912. 2049. 2115. 1057.
 2046. 2115. 1057. 2044. 2251.  914.]","[-15.562    4.323   68.258    0.       0.       0.      -0.0737  -0.2729
   0.958 ]",120
3,0,"[[ 0.02621052 -0.10140251  0.52859749]
 [-0.02621052 -0.31985972  0.31014028]
 [ 0.02621052 -0.10140251  0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]
 [-0.02621052  0.10140251 -0.52859749]
 [ 0.02621052  0.31985972 -0.31014028]]","[2030. 2114. 1057. 2030. 2256.  915. 2065. 2256.  915. 2065. 2114. 1057.
 2030. 2114. 1057. 2030. 2256.  915.]","[2042. 2115. 1057. 2043. 2250.  911. 2051. 2241.  912. 2053. 2115. 1057.
 2042. 2115. 1057. 2041. 2251.  914.]","[-15.562    4.323   68.258    0.       0.       0.      -0.0767  -0.2769
   0.9575]",120
4,0,"[[ 0.03491941 -0.10188055  0.52811945]
 [-0.03491941 -0.3198119   0.3101881 ]
 [ 0.03491941 -0.10188055  0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]
 [-0.03491941  0.10188055 -0.52811945]
 [ 0.03491941  0.3198119  -0.3101881 ]]","[2025. 2114. 1057. 2025. 2256.  915. 2070. 2256.  915. 2070. 2114. 1057.
 2025. 2114. 1057. 2025. 2256.  915.]","[2038. 2115. 1057. 2040. 2251.  912. 2054. 2241.  912. 2056. 2115. 1057.
 2038. 2115. 1057. 2039. 2251.  914.]","[-15.557    4.323   68.264    0.1831   0.       0.1831  -0.083   -0.2632
   0.9707]",120
5,0,"[[ 0.04360436 -0.10249437  0.52750563]
 [-0.04360436 -0.31975051  0.31024949]
 [ 0.04360436 -0.10249437  0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]
 [-0.04360436  0.10249437 -0.52750563]
 [ 0.04360436  0.31975051 -0.31024949]]","[2019. 2114. 1057. 2019. 2256.  915. 2076. 2256.  915. 2076. 2114. 1057.
 2019. 2114. 1057. 2019. 2256.  915.]","[2034. 2115. 1057. 2036. 2250.  912. 2059. 2241.  912. 2060. 2115. 1055.
 2034. 2115. 1056. 2037. 2251.  913.]","[-15.535    4.329   68.28     0.4883   0.       0.4883  -0.0835  -0.2461
   0.9658]",120
6,0,"[[ 0.05225943 -0.10324356  0.52675644]
 [-0.05225943 -0.31967558  0.31032442]
 [ 0.05225943 -0.10324356  0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]
 [-0.05225943  0.10324356 -0.52675644]
 [ 0.05225943  0.31967558 -0.31032442]]","[2013. 2115. 1056. 2013. 2256.  915. 2082. 2256.  915. 2082. 2115. 1056.
 2013. 2115. 1056. 2013. 2256.  915.]","[2027. 2115. 1057. 2030. 2250.  912. 2064. 2241.  912. 2067. 2115. 1057.
 2027. 2115. 1057. 2029. 2251.  914.]","[-1.5518e+01  4.3340e+00  6.8302e+01  2.4410e-01 -1.2210e-01  6.1040e-01
 -6.6900e-02 -2.3050e-01  9.5560e-01]",120
7,0,"[[ 0.06087868 -0.1041276   0.5258724 ]
 [-0.06087868 -0.31958717  0.31041283]
 [ 0.06087868 -0.1041276   0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]
 [-0.06087868  0.1041276  -0.5258724 ]
 [ 0.06087868  0.31958717 -0.31041283]]","[2008. 2115. 1056. 2008. 2256.  915. 2087. 2256.  915. 2087. 2115. 1056.
 2008. 2115. 1056. 2008. 2256.  915.]","[2023. 2115. 1056. 2025. 2250.  912. 2069. 2241.  912. 2071. 2115. 1057.
 2024. 2115. 1056. 2025. 2251.  913.]","[-15.507    4.329   68.329   -0.1831  -0.3662   0.6104  -0.0854  -0.2236
   0.9688]",120
8,0,"[[ 0.06945621 -0.10514588  0.52485412]
 [-0.06945621 -0.31948533  0.31051467]
 [ 0.06945621 -0.10514588  0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]
 [-0.06945621  0.10514588 -0.52485412]
 [ 0.06945621  0.31948533 -0.31051467]]","[2002. 2116. 1055. 2002. 2256.  915. 2093. 2256.  915. 2093. 2116. 1055.
 2002. 2116. 1055. 2002. 2256.  915.]","[2016. 2115. 1056. 2019. 2251.  912. 2075. 2241.  912. 2077. 2115. 1055.
 2018. 2115. 1056. 2017. 2251.  914.]","[-15.502    4.329   68.373   -0.2441  -0.3662   1.0376  -0.0786  -0.2192
   0.9736]",120
9,0,"[[ 0.07798614 -0.1062977   0.5237023 ]
 [-0.07798614 -0.31937014  0.31062986]
 [ 0.07798614 -0.1062977   0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]
 [-0.07798614  0.1062977  -0.5237023 ]
 [ 0.07798614  0.31937014 -0.31062986]]","[1997. 2117. 1054. 1997. 2256.  915. 2098. 2256.  915. 2098. 2117. 1054.
 1997. 2117. 1054. 1997. 2256.  915.]","[2011. 2116. 1056. 2014. 2250.  913. 2081. 2241.  912. 2084. 2115. 1055.
 2011. 2116. 1056. 2009. 2251.  913.]","[-15.496    4.329   68.423   -0.4272  -0.4272   1.1597  -0.0693  -0.2241
   0.957 ]",120
